lesson_id,filename,script_text,voice_direction
kindergarten/K.L.2,K.L.2-Q1-sentence.mp3,"I like pizza.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/K.L.2,K.L.2-Q2-sentence.mp3,"I see a dog.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.1b,RF.K.1b-Q1-sentence.mp3,"The cat says meow.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.1b,RF.K.1b-Q3-sentence.mp3,"The dog ran to the park.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.1c,RF.K.1c-Q5-sentence.mp3,"My dog is big.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.3c,RF.K.3c-Q1-sentence.mp3,"Look at the moon!","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.3c,RF.K.3c-Q2-sentence.mp3,"I can do it!","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.3c,RF.K.3c-Q3-sentence.mp3,"He is happy.","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
kindergarten/RF.K.3c,RF.K.3c-Q4-sentence.mp3,"How are you?","Read this sentence at a natural pace, like reading a picture book aloud to a child:"
